countries,first_case
FO,2020-11-05
SN,2020-03-02
GB,2020-01-31
MA,2020-03-02
SY,2020-03-22
CZ,2020-03-01
EE,2020-02-27
FR,2020-01-24
MV,2020-03-08
MT,2020-03-07
CM,2020-03-06
CA,2020-01-26
TR,2020-03-11
JO,2020-03-03
SC,2020-03-14
MY,2020-01-25
NZ,2020-02-28
LT,2020-02-28
MN,2020-03-10
NI,2020-03-19
KY,2020-11-05
JP,2020-01-22
JE,2020-11-05
KI,2020-11-05
SK,2020-03-06
CL,2020-02-23
CK,2020-11-05
FM,2020-11-05
TV,2020-11-05
HU,2020-03-04
PE,2020-03-06
UM,2020-11-05
GW,2020-03-25
PK,2020-02-25
SI,2020-03-05
IE,2020-02-29
PS,2020-03-05
WS,2020-11-05
UY,2020-03-13
ML,2020-03-25
AL,2020-03-09
WF,2020-11-05
MP,2020-11-05
DZ,2020-02-25
CU,2020-03-12
FK,2020-11-05
LA,2020-03-24
KG,2020-03-18
MU,2020-03-18
KZ,2020-03-13
NE,2020-03-20
SO,2020-03-16
TC,2020-11-05
CV,2020-03-20
HR,2020-02-25
GN,2020-03-13
LI,2020-03-04
KE,2020-03-13
LR,2020-03-16
RE,2020-11-05
SZ,2020-03-14
AE,2020-01-29
VN,2020-01-23
AF,2020-02-24
DK,2020-02-27
GU,2020-11-05
ST,2020-04-06
NU,2020-11-05
AM,2020-03-01
IO,2020-11-05
TF,2020-11-05
GM,2020-03-17
ME,2020-03-17
GL,2020-11-05
NC,2020-11-05
LC,2020-03-14
AD,2020-03-02
CF,2020-03-15
DM,2020-03-22
GA,2020-03-14
BE,2020-02-04
BM,2020-11-05
ZM,2020-03-18
CD,2020-03-11
HK,2020-11-05
NG,2020-02-28
SG,2020-01-23
EH,2020-04-05
VG,2020-11-05
MH,2020-10-28
PL,2020-03-04
VI,2020-11-05
AU,2020-01-26
BJ,2020-03-16
IQ,2020-02-24
ZA,2020-03-05
TN,2020-03-04
FJ,2020-03-19
NP,2020-01-25
PY,2020-03-08
LK,2020-01-27
TO,2020-11-05
DE,2020-01-27
GT,2020-03-14
ES,2020-02-01
ZW,2020-03-20
PW,2020-11-05
TM,2020-11-05
NA,2020-03-14
XK,2020-03-14
TW,2020-01-22
BG,2020-03-08
DO,2020-03-01
GI,2020-11-05
KP,2020-11-05
NL,2020-02-27
TG,2020-03-06
TK,2020-11-05
GF,2020-11-05
IM,2020-11-05
MK,2020-02-26
AS,2020-11-05
BO,2020-03-11
KH,2020-01-27
CN,2020-01-22
EG,2020-02-14
SS,2020-04-05
RU,2020-01-31
YE,2020-04-10
QA,2020-02-29
RO,2020-02-26
BB,2020-03-17
LU,2020-02-29
SJ,2020-11-05
UA,2020-03-03
GR,2020-02-26
SA,2020-03-02
TZ,2020-03-16
CY,2020-03-09
IT,2020-01-31
MM,2020-03-27
BI,2020-03-31
GH,2020-03-14
GS,2020-11-05
PG,2020-03-20
TJ,2020-04-30
AI,2020-11-05
AW,2020-11-05
CC,2020-11-05
GP,2020-11-05
BD,2020-03-08
HT,2020-03-20
LS,2020-05-13
MZ,2020-03-22
NO,2020-02-26
FI,2020-01-29
MF,2020-11-05
MC,2020-02-29
NF,2020-11-05
SH,2020-11-05
AQ,2020-11-05
CI,2020-03-11
OM,2020-02-24
HN,2020-03-11
MO,2020-11-05
NR,2020-11-05
SD,2020-03-13
JM,2020-03-11
MX,2020-02-28
KN,2020-03-25
US,2020-01-22
BY,2020-02-28
PR,2020-11-05
SB,2020-10-12
AO,2020-03-20
AG,2020-03-13
AN,2020-11-05
TH,2020-01-22
AX,2020-11-05
GY,2020-03-12
IL,2020-02-21
KR,2020-01-22
VC,2020-03-14
CH,2020-02-25
CX,2020-11-05
KW,2020-02-24
TT,2020-03-14
AZ,2020-03-01
BW,2020-03-30
BS,2020-03-16
GG,2020-11-05
UG,2020-03-21
BH,2020-02-24
EC,2020-03-01
GQ,2020-03-15
LV,2020-03-02
BV,2020-11-05
GE,2020-02-26
IN,2020-01-30
RW,2020-03-14
AT,2020-02-25
ET,2020-03-13
PN,2020-11-05
SM,2020-02-27
SR,2020-03-14
MG,2020-03-20
MR,2020-03-14
RS,2020-03-06
TL,2020-03-22
PA,2020-03-10
SL,2020-03-31
AR,2020-03-03
CG,2020-03-15
DJ,2020-03-18
SV,2020-03-19
HM,2020-11-05
BR,2020-02-26
PT,2020-03-02
ID,2020-03-02
YT,2020-11-05
MS,2020-11-05
BZ,2020-03-23
TD,2020-03-19
CR,2020-03-06
VE,2020-03-14
BT,2020-03-06
MQ,2020-11-05
PM,2020-11-05
SE,2020-01-31
VU,2020-11-05
BF,2020-03-10
CO,2020-03-06
LB,2020-02-21
MD,2020-03-08
BA,2020-03-05
VA,2020-03-06
IS,2020-02-28
UZ,2020-03-15
BL,2020-11-05
ER,2020-03-21
PF,2020-11-05
IR,2020-02-19
MW,2020-04-02
LY,2020-03-24
PH,2020-01-30
BN,2020-03-09
KM,2020-04-30
GD,2020-03-22
